titles,urls,interactions,imgs
LaLiga launches its Amazon store in collaboration with 13 LaLiga Santander clubs,https://www.laliga.com/en-ES/news/laliga-launches-its-amazon-store-in-collaboration-with-13-laliga-santander-clubs,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Afcon 2021: Nigeria's Yobo questions 'harsh' Iwobi red card against Tunisia,https://www.goal.com/en-ng/news/afcon-2021-nigeria-yobo-questions-harsh-iwobi-red-card/blt3596d887ee7d5a7a,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Kick-off times for Matchday 22 of LaLiga Santander 2021/22,https://www.laliga.com/en-ES/news/kick-off-times-for-matchday-22-of-laliga-santander-2021-22,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Taylor: WSL title race not over | 'City are back in the game',https://www.skysports.com/football/news/35730/12524370/man-city-women-manager-gareth-taylor-says-womens-super-league-title-race-is-not-over-after-arsenal-women-draw,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
"Afcon 2021: Guinea vs The Gambia - Kick-off, TV channel, squad news and preview",https://www.goal.com/en-ng/news/afcon-2021-guinea-vs-the-gambia-kick-off-tv-channel-squad/blte03f9f4aae61783a,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
A deadly duo: Vini Jr and Karim Benzema,https://www.laliga.com/en-ES/news/a-deadly-duo-vini-jr-and-karim-benzema,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
McGrath told to focus on St Mirren,https://www.skysports.com/football/news/36621/12524451/jamie-mcgrath-told-to-focus-on-st-mirren-as-transfer-speculation-continues,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Giant-killers Gambia reach AFCON last eight,https://www.skysports.com/football/guinea-vs-gambia/report/457233,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
The 16 LaLiga Santander & LaLiga SmartBank players competing in AFCON 2021,https://www.laliga.com/en-ES/news/the-16-laliga-santander-and-laliga-smartbank-players-competing-in-afcon-2021,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
EFL delays Derby meeting after 'positive developments',https://www.skysports.com/football/news/30778/12524397/derby-efl-delays-emergency-meeting-about-championship-clubs-future-after-positive-developments,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
